"Version 2.0:  Dieter, C.A., Linsey, K.S., Caldwell, R.R., Harris, M.A., Ivahnenko, T.I., Lovelace, J.K., Maupin, M.A., and Barber, N.L., 2018, Estimated use of water in the United States county-level data for 2015 (ver. 2.0, June 2018): U.S. Geological Survey data release, https://doi.org/10.5066/F7TB15V5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial,thermo_ground,thermo_surface
MA,25,Berkshire County,3,25003,2015,127.828,21.985,84.09,106.075,2.97,0,2.97,11.36,0,11.36,14.33,0,14.33,21.753,1.22,0,1.22,56,5.94,56,7.16,4.98,0,4.98,2.13,0,2.13,7.11,0,7.11,0.22,0.16,0.38,--,0.28,0.88,0.07,0.01,0.96,0,0.16,0.16,--,0.07,0.2,0.01,0.01,0.22,0.22,0,0.22,--,0.21,0.68,0.06,0,0.74,0.18,0,0.18,0.25,0,0.25,0,0,0,0.25,0,0.25,3.6,0,3.6,0.48,0,0.48,4.08,0,4.08,0.19,0,0.19,0,0,0,0.19,0,0.19,0,0,0.14,0,0.14,259.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.19,0,0,0,0.19,0,0.19,0,0,0.14,0,0.14,259.32,13.61,0,13.61,14.13,0,14.13,27.74,0,27.74,0.42,0,0.42,0.38,0
MA,25,Bristol County,5,25005,2015,556.772,291.343,203.531,494.874,15.66,0,15.66,10.33,0.61,10.94,25.99,0.61,26.6,61.898,3.65,0,3.65,59,29.2,59,32.85,0.62,0,0.62,0.3,0,0.3,0.92,0,0.92,8.35,1.73,10.08,--,2.19,2,0.17,0.89,3.06,7.36,1.73,9.09,--,1.25,0.67,0.06,0.89,1.62,0.99,0,0.99,--,0.94,1.33,0.11,0,1.44,0.08,0.03,0.11,0.5,0,0.5,0,0,0,0.5,0,0.5,0.1,0,0.1,0.55,0,0.55,0.65,0,0.65,0,0,0,0,14.24,14.24,0,14.24,14.24,0,0.26,0.18,9.46,9.64,2653.69,0,0,0,0,0.73,0.73,0,0.73,0.73,0,0,0,0,0,1.01,0,0,0,0,13.51,13.51,0,13.51,13.51,0,0.26,0.18,9.46,9.64,2652.68,28.96,0,28.96,12.94,14.85,27.79,41.9,14.85,56.75,2.37,9.46,11.83,0,0
MA,25,Dukes County,7,25007,2015,17.299,10.996,0,10.996,3.07,0,3.07,0,0,0,3.07,0,3.07,6.303,0.47,0,0.47,75,0.82,75,1.29,0,0,0,0,0,0,0,0,0,0.14,0.93,1.07,--,0.28,0.29,0.04,0.09,0.42,0,0.93,0.93,--,0.15,0.1,0.02,0.09,0.21,0.14,0,0.14,--,0.13,0.19,0.02,0,0.21,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69,0,3.69,0.95,0,0.95,4.64,0,4.64,0.28,0,0.28,0,0
MA,25,Essex County,9,25009,2015,776.043,96.405,626.397,722.802,10.29,0,10.29,66.86,0,66.86,77.15,0,77.15,53.241,3.09,0,3.09,58,41.92,58,45.01,2.21,0,2.21,1.81,0,1.81,4.02,0,4.02,1.16,0.21,1.37,--,1.29,2.19,0.19,0.02,2.4,0.02,0.21,0.23,--,0.21,0.55,0.04,0.02,0.61,1.14,0,1.14,--,1.08,1.64,0.15,0,1.79,0.04,0.02,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.21,0.21,0,0.21,0,0,0,46.15,0,46.15,46.15,0,46.15,0,0,0.46,0,0.46,245.37,0,0,0,46.15,0,46.15,46.15,0,46.15,0,0,0.46,0,0.46,245.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79,0,16.79,115.26,0,115.26,132.05,0,132.05,1.75,0,1.75,0,46.15
MA,25,Franklin County,11,25011,2015,70.601,48.431,0,48.431,3.73,0,3.73,0,0,0,3.73,0,3.73,22.17,1.04,0,1.04,47,2.28,47,3.32,2.15,0,2.15,1.03,0,1.03,3.18,0,3.18,0.2,0.6,0.8,--,0.77,2.14,0.16,0.07,2.37,0.03,0.6,0.63,--,0.61,1.85,0.13,0.07,2.05,0.17,0,0.17,--,0.16,0.29,0.03,0,0.32,0.14,0,0.14,2.54,0,2.54,0,0,0,2.54,0,2.54,0.11,0,0.11,0.09,0,0.09,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91,0,9.91,1.72,0,1.72,11.63,0,11.63,0.77,0,0.77,0,0
MA,25,Hampden County,13,25013,2015,470.69,76.828,349.387,426.215,8.18,0,8.18,37.2,0,37.2,45.38,0,45.38,44.475,2.67,0,2.67,60,25.57,60,28.24,0.19,0,0.19,0.77,0,0.77,0.96,0,0.96,0.69,0.26,0.95,--,0.91,1.92,0.16,0.03,2.11,0.02,0.26,0.28,--,0.27,0.77,0.06,0.03,0.86,0.67,0,0.67,--,0.64,1.15,0.1,0,1.25,0.01,0.06,0.07,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.37,0,0.37,0.38,0,0.38,0,0,0,0.75,0,0.75,0.75,0,0.75,0,46.65,1.17,0,1.17,765.27,0,0,0,0.75,0,0.75,0.75,0,0.75,0,45.68,0.48,0,0.48,612.62,0,0,0,0,0,0,0,0,0,0,0.97,0.69,0,0.69,152.65,11.75,0,11.75,39.41,0,39.41,51.16,0,51.16,2.08,0,2.08,0,0.75
MA,25,Hampshire County,15,25015,2015,161.292,42.802,84.969,127.771,6.06,0,6.06,12.03,0,12.03,18.09,0,18.09,33.521,1.88,0,1.88,56,7.16,56,9.04,0.04,0,0.04,0.08,0,0.08,0.12,0,0.12,0.33,0.23,0.56,--,0.54,1.28,0.1,0.03,1.41,0.01,0.23,0.24,--,0.23,0.77,0.06,0.03,0.86,0.32,0,0.32,--,0.31,0.51,0.04,0,0.55,0.03,0.09,0.12,3.59,0,3.59,1.79,0,1.79,5.38,0,5.38,0,0,0,0.21,0,0.21,0.21,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.93,0,11.93,14.43,0,14.43,26.36,0,26.36,0.54,0,0.54,0,0
MA,25,Middlesex County,17,25017,2015,1585.139,788.451,680.175,1468.626,37.72,0,37.72,32.54,0,32.54,70.26,0,70.26,116.513,6.76,0,6.76,58,85.18,58,91.94,1.55,0,1.55,3.72,0,3.72,5.27,0,5.27,2.56,0.86,3.42,--,2.84,3.51,0.28,0.09,3.88,0.56,0.86,1.42,--,0.94,1.46,0.1,0.09,1.65,2,0,2,--,1.9,2.05,0.18,0,2.23,0.01,0.06,0.07,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.6,0,0.6,0.65,0,0.65,0,0,0,1.44,61.53,62.97,1.44,61.53,62.97,0,0.07,1.08,0.62,1.7,4467.05,0,0,0,0,61.53,61.53,0,61.53,61.53,0,0,0,0.62,0.62,2944.58,0,0,0,1.44,0,1.44,1.44,0,1.44,0,0.07,1.08,0,1.08,1522.47,48.65,0,48.65,39.22,61.53,100.75,87.87,61.53,149.4,3.92,0.62,4.54,0,2.88
MA,25,Nantucket County,19,25019,2015,10.925,8.3,0,8.3,2,0,2,0,0,0,2,0,2,2.625,0.25,0,0.25,95,0.79,95,1.04,0,0,0,0,0,0,0,0,0,1.02,0.18,1.2,--,0.23,0.25,0.01,0.11,0.37,0.91,0.18,1.09,--,0.13,0.05,0,0.11,0.16,0.11,0,0.11,--,0.1,0.2,0.01,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27,0,3.27,0.18,0,0.18,3.45,0,3.45,0.23,0,0.23,0,0
MA,25,Norfolk County,21,25021,2015,696.023,524.293,139.725,664.018,28.33,0,28.33,7.55,0,7.55,35.88,0,35.88,32.005,1.86,0,1.86,58,38.51,58,40.37,0.51,0,0.51,0.29,0,0.29,0.8,0,0.8,1.56,0.17,1.73,--,1.39,1.8,0.14,0.11,2.05,0.47,0.17,0.64,--,0.36,0.45,0.02,0.11,0.58,1.09,0,1.09,--,1.03,1.35,0.12,0,1.47,0.01,0.02,0.03,0,0,0,0.01,0,0.01,0.01,0,0.01,0,0,0,0.21,0,0.21,0.21,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.27,0,32.27,8.25,0,8.25,40.52,0,40.52,1.39,0,1.39,0,0
MA,25,Plymouth County,23,25023,2015,510.393,189.711,271.625,461.336,28,0,28,40.09,0,40.09,68.09,0,68.09,49.057,2.85,0,2.85,58,26.76,58,29.61,0.31,0,0.31,0.4,0,0.4,0.71,0,0.71,87.53,16.74,104.27,--,14.48,3.88,0.27,10.31,14.46,85.41,16.74,102.15,--,12.47,1.61,0.07,10.31,11.99,2.12,0,2.12,--,2.01,2.27,0.2,0,2.47,0.01,0.03,0.04,0.17,0,0.17,0,0,0,0.17,0,0.17,0.68,0,0.68,0,0,0,0.68,0,0.68,0.91,0,0.91,0,383.63,383.63,0.91,383.63,384.54,0,0,0.65,3.84,4.49,5582.39,0,0,0,0,383.63,383.63,0,383.63,383.63,0,0,0,3.84,3.84,4994.81,0.91,0,0.91,0,0,0,0.91,0,0.91,0,0,0.65,0,0.65,587.58,120.46,0,120.46,57.26,383.63,440.89,177.72,383.63,561.35,15.13,3.84,18.97,1.82,0
MA,25,Suffolk County,25,25025,2015,778.121,0,778.121,778.121,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,32.68,42,32.68,0.29,0,0.29,0.29,0,0.29,0.58,0,0.58,0.13,0,0.13,--,0.11,0.13,0.03,0,0.16,0.01,0,0.01,--,0,0,0.02,0,0.02,0.12,0,0.12,--,0.11,0.13,0.01,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.03,0,0.03,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0.43,0.32,0,0.32,0.75,0,0.75,0.11,0,0.11,0,0
MA,25,Worcester County,27,25027,2015,818.963,61.866,596.957,658.823,23.63,0,23.63,228.01,0,228.01,251.64,0,251.64,160.14,8.49,0,8.49,53,34.92,53,43.41,2.22,0,2.22,1.85,0,1.85,4.07,0,4.07,1.65,0.54,2.19,--,2.08,3.42,0.28,0.04,3.74,0.02,0.54,0.56,--,0.53,1.19,0.09,0.04,1.32,1.63,0,1.63,--,1.55,2.23,0.19,0,2.42,0.12,0.08,0.2,0.03,0,0.03,0,0,0,0.03,0,0.03,0.76,0,0.76,0.84,0,0.84,1.6,0,1.6,0,0,0,0.69,0,0.69,0.69,0,0.69,1.07,0,1.18,0,1.18,2585.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0.69,0.69,0,0.69,1.07,0,1.18,0,1.18,2585.67,36.9,0,36.9,232.01,0,232.01,268.91,0,268.91,3.26,0,3.26,0,1.38
NH,33,Belknap County,1,33001,2015,60.641,15.248,19.05,34.298,1.35,0,1.35,1.77,0,1.77,3.12,0,3.12,26.343,1.22,0,1.22,46,1.59,46,2.81,0.06,0,0.06,0.24,0,0.24,0.3,0,0.3,0.1,0.31,0.41,--,0.39,0.47,0.09,0.04,0.6,0.1,0.05,0.15,--,0.14,0.17,0.09,0.04,0.3,0,0.26,0.26,--,0.25,0.3,0,0,0.3,0.02,0.01,0.03,1.05,0,1.05,1.8,0,1.8,2.85,0,2.85,0,0,0,0.56,0,0.56,0.56,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,3.8,4.69,0,4.69,8.49,0,8.49,0.39,0,0.39,0,0
NH,33,Carroll County,3,33003,2015,47.285,24.285,6.487,30.772,2.76,0,2.76,0.69,0,0.69,3.45,0,3.45,16.513,0.94,0,0.94,57,1.74,57,2.68,0.15,0,0.15,0.02,0,0.02,0.17,0,0.17,0.05,0.34,0.39,--,0.37,0.53,0.05,0.02,0.6,0.05,0.02,0.07,--,0.06,0.09,0.05,0.02,0.16,0,0.32,0.32,--,0.31,0.44,0,0,0.44,0.01,0.01,0.02,0.63,0,0.63,0,0,0,0.63,0,0.63,0,0,0,0.98,0,0.98,0.98,0,0.98,0.3,0,0.3,0,0,0,0.3,0,0.3,0,0,0.21,0,0.21,154.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0.3,0,0.3,0,0,0.21,0,0.21,154.44,4.84,0,4.84,2.04,0,2.04,6.88,0,6.88,0.58,0,0.58,0.6,0
NH,33,Cheshire County,5,33005,2015,75.909,15.522,24.895,40.417,2.49,0,2.49,1.63,0,1.63,4.12,0,4.12,35.492,1.87,0,1.87,53,2.12,52,3.99,0.27,0,0.27,0.14,0,0.14,0.41,0,0.41,0.03,0.18,0.21,--,0.2,0.35,0.03,0.01,0.39,0.03,0.01,0.04,--,0.04,0.06,0.03,0.01,0.1,0,0.17,0.17,--,0.16,0.29,0,0,0.29,0.08,0.03,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0.25,0.31,0,0.31,0.01,0,0.01,0.32,0,0.32,0,0,0.21,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0.31,0.01,0,0.01,0.32,0,0.32,0,0,0.21,0,0.21,0,5.05,0,5.05,2.24,0,2.24,7.29,0,7.29,0.41,0,0.41,0.62,0.02
NH,33,Coos County,7,33007,2015,31.212,6.985,14.42,21.405,1.53,0,1.53,2.67,0,2.67,4.2,0,4.2,9.807,0.59,0,0.59,60,1.29,60,1.88,0.06,0,0.06,4.05,0,4.05,4.11,0,4.11,0.09,0.08,0.17,--,0.16,0.29,0.02,0,0.31,0.01,0,0.01,--,0.01,0.02,0.02,0,0.04,0.08,0.08,0.16,--,0.15,0.27,0,0,0.27,0.08,0.02,0.1,0.79,0,0.79,2.4,0,2.4,3.19,0,3.19,0,0,0,0.04,0,0.04,0.04,0,0.04,0.02,0,0.02,0.88,0,0.88,0.9,0,0.9,0,0,0.77,0,0.77,557.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.88,0,0.88,0.9,0,0.9,0,0,0.77,0,0.77,557.2,3.16,0,3.16,10.14,0,10.14,13.3,0,13.3,0.93,0,0.93,0.04,1.76
NH,33,Grafton County,9,33009,2015,89.32,26.197,30.473,56.67,2.82,0,2.82,4.75,0,4.75,7.57,0,7.57,32.65,2.11,0,2.11,65,3.67,65,5.78,0.2,0,0.2,0.32,0,0.32,0.52,0,0.52,0.05,0.33,0.38,--,0.36,0.6,0.04,0.01,0.65,0.05,0.02,0.07,--,0.07,0.08,0.04,0.01,0.13,0,0.31,0.31,--,0.29,0.52,0,0,0.52,0.13,0.04,0.17,1.44,0,1.44,0,0,0,1.44,0,1.44,0,0,0,0.74,0,0.74,0.74,0,0.74,0.27,0,0.27,0.44,0,0.44,0.71,0,0.71,0,0,0.5,0,0.5,333.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0.27,0.44,0,0.44,0.71,0,0.71,0,0,0.5,0,0.5,333.5,7.02,0,7.02,6.62,0,6.62,13.64,0,13.64,0.86,0,0.86,0.54,0.88
NH,33,Hillsborough County,11,33011,2015,406.678,70.311,220.095,290.406,6.93,0,6.93,31.81,0,31.81,38.74,0,38.74,116.272,7.27,0,7.27,63,18.16,63,25.43,1.63,0,1.63,2,0,2,3.63,0,3.63,0.33,1.08,1.41,--,1.34,1.3,0.22,0.06,1.58,0.24,0.13,0.37,--,0.35,0.4,0.22,0.06,0.68,0.09,0.95,1.04,--,0.99,0.9,0,0,0.9,0.04,0.01,0.05,2.55,0,2.55,0,0,0,2.55,0,2.55,0,0,0,0.3,0,0.3,0.3,0,0.3,0,0,0,0,0,0,0,0,0,2.68,0.15,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0.15,2,0,2,0,18.75,0,18.75,35.2,0,35.2,53.95,0,53.95,3.34,0,3.34,0,0
NH,33,Merrimack County,13,33013,2015,147.994,34.313,50.125,84.438,3.53,0,3.53,4.73,0,4.73,8.26,0,8.26,63.556,3.16,0,3.16,50,4.19,50,7.35,0.21,0,0.21,0.23,0,0.23,0.44,0,0.44,0.19,0.6,0.79,--,0.75,1,0.18,0.05,1.23,0.19,0.1,0.29,--,0.27,0.33,0.18,0.05,0.56,0,0.5,0.5,--,0.48,0.67,0,0,0.67,0.09,0.03,0.12,0,0,0,0,0,0,0,0,0,1.76,0,1.76,0.42,0,0.42,2.18,0,2.18,0.2,0,0.2,72.38,0,72.38,72.58,0,72.58,0,0.13,0.87,0,0.87,909.6,0.2,0,0.2,72.04,0,72.04,72.24,0,72.24,0,0,0.54,0,0.54,790.63,0,0,0,0.34,0,0.34,0.34,0,0.34,0,0.13,0.33,0,0.33,118.97,9.14,0,9.14,78.39,0,78.39,87.53,0,87.53,1.62,0,1.62,0.2,72.72
NH,33,Rockingham County,15,33015,2015,301.777,76.883,82.7,159.583,9.35,0,9.35,6,0,6,15.35,0,15.35,142.194,9.43,0,9.43,66,10.58,66,20.01,1.16,0,1.16,0.82,0,0.82,1.98,0,1.98,0.18,0.77,0.95,--,0.91,1.22,0.1,0.03,1.35,0.1,0.05,0.15,--,0.15,0.18,0.1,0.03,0.31,0.08,0.72,0.8,--,0.76,1.04,0,0,1.04,0.06,0.02,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0.35,0.35,0,0.35,0,0,0,0,693.42,693.42,0,693.42,693.42,0.14,0.25,0,8.27,8.27,16107.76,0,0,0,0,691.59,691.59,0,691.59,691.59,0.14,0.18,0,6.92,6.92,10077.98,0,0,0,0,1.83,1.83,0,1.83,1.83,0,0.07,0,1.35,1.35,6029.78,20.18,0,20.18,7.96,693.42,701.38,28.14,693.42,721.56,0.91,8.27,9.18,0,0
NH,33,Strafford County,17,33017,2015,126.825,38.081,52.912,90.993,3.74,0,3.74,4.26,0,4.26,8,0,8,35.832,2.03,0,2.03,57,5.17,57,7.2,0.41,0,0.41,0.27,0,0.27,0.68,0,0.68,0.05,0.33,0.38,--,0.35,0.48,0.1,0.02,0.6,0.05,0.04,0.09,--,0.08,0.17,0.1,0.02,0.29,0,0.29,0.29,--,0.27,0.31,0,0,0.31,0.03,0.01,0.04,0,0,0,6.22,0,6.22,6.22,0,6.22,0,0,0,0.21,0,0.21,0.21,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26,0,6.26,11.3,0,11.3,17.56,0,17.56,0.35,0,0.35,0,0
NH,33,Sullivan County,19,33019,2015,42.967,8.806,15.64,24.446,0.92,0,0.92,1.79,0,1.79,2.71,0,2.71,18.521,1.12,0,1.12,60,1.47,60,2.59,0.06,0,0.06,0.32,0,0.32,0.38,0,0.38,0.02,0.09,0.11,--,0.11,0.22,0.01,0.01,0.24,0.02,0.01,0.03,--,0.03,0.04,0.01,0.01,0.06,0,0.08,0.08,--,0.08,0.18,0,0,0.18,0.09,0.03,0.12,0,0,0,0.28,0,0.28,0.28,0,0.28,0,0,0,0.52,0,0.52,0.52,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.52,2.21,0,2.21,3.03,0,3.03,5.24,0,5.24,0.11,0,0.11,0,0
NJ,34,Atlantic County,1,34001,2015,274.219,200.761,5.662,206.423,27.97,0,27.97,2.23,0,2.23,30.2,0,30.2,67.796,6.54,0,6.54,96,15.4,75,21.94,2.26,0,2.26,0.46,0,0.46,2.72,0,2.72,14.4,0.75,15.15,--,10.3,10.34,3.96,0.38,14.68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.18,0,51.18,3.44,0,3.44,54.62,0,54.62,10.3,0,10.3,0,0
NJ,34,Bergen County,3,34003,2015,938.506,166.668,744.875,911.543,22.74,0,22.74,104.68,0,104.68,127.42,0,127.42,26.963,2.08,0,2.08,77,73,80,75.08,0.71,0,0.71,2.88,0,2.88,3.59,0,3.59,0.59,0.26,0.85,--,0.58,0.09,0.03,0,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0.01,0,0.01,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0.04,2.95,0,2.95,5743.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0.04,2.95,0,2.95,5743.94,26.13,0,26.13,107.82,0,107.82,133.95,0,133.95,3.53,0,3.53,0,0
NJ,34,Burlington County,5,34005,2015,450.226,315.158,71.17,386.328,25.47,0,25.47,28.73,0,28.73,54.2,0,54.2,63.898,6.6,0,6.6,103,29.42,76,36.02,0.81,0,0.81,0.08,0,0.08,0.89,0,0.89,5.03,17.47,22.5,--,15.3,12.03,4.61,0.44,17.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.07,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,5.07,0,5.07,5.07,0,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.98,0,37.98,51.35,0,51.35,89.33,0,89.33,15.3,0,15.3,0,0
NJ,34,Camden County,7,34007,2015,510.923,444.072,40.405,484.477,42.83,0,42.83,0,0,0,42.83,0,42.83,26.446,2.46,0,2.46,93,38.41,79,40.87,0.34,0,0.34,2.09,0,2.09,2.43,0,2.43,1.25,0.61,1.86,--,1.26,2.31,0.88,0.09,3.28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0.62,0,0,0,0.62,0,0.62,0,0.25,0.62,0,0.62,416.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0.62,0,0,0,0.62,0,0.62,0,0.25,0.62,0,0.62,416.29,47.51,0,47.51,2.7,0,2.7,50.21,0,50.21,1.88,0,1.88,1.24,0
NJ,34,Cape May County,9,34009,2015,94.727,60.435,0,60.435,13.56,0,13.56,0.05,0,0.05,13.61,0,13.61,34.292,5.5,0,5.5,160,2.08,34,7.58,0.45,0,0.45,0.57,0,0.57,1.02,0,1.02,1.06,0.31,1.37,--,0.93,2.05,0.79,0.08,2.92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.01,0,0.01,0.06,0,0.06,0,0,0,0.06,0,0.06,0.01,0,0.01,4.66,0,4.66,4.67,0,4.67,0,0,0,0,6.52,6.52,0,6.52,6.52,0,0,0,0.09,0.09,145.74,0,0,0,0,6.46,6.46,0,6.46,6.46,0,0,0,0.06,0.06,134.55,0,0,0,0,0.06,0.06,0,0.06,0.06,0,0,0,0.03,0.03,11.19,20.65,0,20.65,5.59,6.52,12.11,26.24,6.52,32.76,0.93,0.09,1.02,0,0
NJ,34,Cumberland County,11,34011,2015,155.854,96.925,0,96.925,15.72,0,15.72,0,0,0,15.72,0,15.72,58.929,4.61,0,4.61,78,7.86,81,12.47,5.58,0,5.58,8.38,0,8.38,13.96,0,13.96,16.35,2.18,18.53,--,12.6,17.71,6.78,0.65,25.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.03,0,0.03,0,0,0,0,0,0,0,0,0,1.3,0,1.3,36.08,0,36.08,37.38,0,37.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.59,0,43.59,46.64,0,46.64,90.23,0,90.23,12.6,0,12.6,0,0
